CO  	0,99934	        0,97	        1,0003632
CO2 	9,9326E-01	    1,53	        1,00044892
Ar  	9,9906E-01	    1,38	        1,00028201
N2	    9,9954E-01	    0,97	        1,00029873
He	    1,0005E+00	    0,14	        1,00003554
H2	    1,0006E+00	    0,07	        1,0001493
CH4	    9,9761E-01	    0,56	        1,0004365
O2	    9,9903E-01	    1,11	        1,0002916
C3H8	9,7853E-01	    1,55	        None
NO2	    None	        2,62	        None
H2O	    None	        0,462490333 	None
NO	    None	        1,04	        None
SO2	    9,7509E-01	    2,26	        None
C2H4	9,9247E-01	    0,98	        None

